country,date,confirmed,deaths,recovered
China,2020-01-22,548,17,28
China,2020-01-23,643,18,30
China,2020-01-24,920,26,36
China,2020-01-25,1406,42,39
China,2020-01-26,2075,56,49
China,2020-01-27,2877,82,58
China,2020-01-28,5509,131,101
China,2020-01-29,6087,133,120
China,2020-01-30,8141,171,135
China,2020-01-31,9802,213,214
China,2020-02-01,11891,259,275
China,2020-02-02,16630,361,463
China,2020-02-03,19716,425,614
China,2020-02-04,23707,491,843
China,2020-02-05,27440,563,1115
China,2020-02-06,30587,633,1477
China,2020-02-07,34110,718,1999
China,2020-02-08,36814,805,2596
China,2020-02-09,39829,905,3219
China,2020-02-10,42354,1012,3918
China,2020-02-11,44386,1112,4636
China,2020-02-12,44759,1117,5082
China,2020-02-13,59895,1369,6217
China,2020-02-14,66358,1521,7977
China,2020-02-15,68413,1663,9298
China,2020-02-16,70513,1766,10755
China,2020-02-17,72434,1864,12462
China,2020-02-18,74211,2003,14206
China,2020-02-19,74619,2116,15962
China,2020-02-20,75077,2238,18014
China,2020-02-21,75550,2238,18704
China,2020-02-22,77001,2443,22699
China,2020-02-23,77022,2445,23187
China,2020-02-24,77241,2595,25015
China,2020-02-25,77754,2665,27676
China,2020-02-26,78166,2717,30084
China,2020-02-27,78600,2746,32930
China,2020-02-28,78928,2790,36329
China,2020-02-29,79356,2837,39320
China,2020-03-01,79932,2872,42162
China,2020-03-02,80136,2914,44854
China,2020-03-03,80261,2947,47450
China,2020-03-04,80386,2983,50001
China,2020-03-05,80537,3015,52292
China,2020-03-06,80690,3044,53944
China,2020-03-07,80770,3072,55539
China,2020-03-08,80823,3100,57388
China,2020-03-09,80860,3123,58804
China,2020-03-10,80887,3139,60181
China,2020-03-11,80921,3161,61644
China,2020-03-12,80932,3172,62901
China,2020-03-13,80945,3180,64196
China,2020-03-14,80977,3193,65660
China,2020-03-15,81003,3203,67017
China,2020-03-16,81033,3217,67910
China,2020-03-17,81058,3230,68798
China,2020-03-18,81102,3241,69755
China,2020-03-19,81156,3249,70535
China,2020-03-20,81250,3253,71266
China,2020-03-21,81305,3259,71857
China,2020-03-22,81435,3274,72362
China,2020-03-23,81498,3274,72814
China,2020-03-24,81591,3281,73280
China,2020-03-25,81661,3285,73773
China,2020-03-26,81782,3291,74181
China,2020-03-27,81897,3296,74720
China,2020-03-28,81999,3299,75100
China,2020-03-29,82122,3304,75582
China,2020-03-30,82198,3308,75923
China,2020-03-31,82279,3309,76206
China,2020-04-01,82361,3316,76405
China,2020-04-02,82432,3322,76565
China,2020-04-03,82511,3326,76760
China,2020-04-04,82543,3330,76946
China,2020-04-05,82602,3333,77207
China,2020-04-06,82665,3335,77310
China,2020-04-07,82718,3335,77410
China,2020-04-08,82809,3337,77567
China,2020-04-09,82883,3339,77679
China,2020-04-10,82941,3340,77791
China,2020-04-11,83014,3343,77877
China,2020-04-12,83134,3343,77956
China,2020-04-13,83213,3345,78039
China,2020-04-14,83306,3345,78200
China,2020-04-15,83356,3346,78311
China,2020-04-16,83403,3346,78401
China,2020-04-17,83760,4636,77552
China,2020-04-18,83787,4636,77614
China,2020-04-19,83805,4636,77690
China,2020-04-20,83817,4636,77745
