country,date,confirmed,deaths,recovered
Italy,2020-01-22,0,0,0
Italy,2020-01-23,0,0,0
Italy,2020-01-24,0,0,0
Italy,2020-01-25,0,0,0
Italy,2020-01-26,0,0,0
Italy,2020-01-27,0,0,0
Italy,2020-01-28,0,0,0
Italy,2020-01-29,0,0,0
Italy,2020-01-30,0,0,0
Italy,2020-01-31,2,0,0
Italy,2020-02-01,2,0,0
Italy,2020-02-02,2,0,0
Italy,2020-02-03,2,0,0
Italy,2020-02-04,2,0,0
Italy,2020-02-05,2,0,0
Italy,2020-02-06,2,0,0
Italy,2020-02-07,3,0,0
Italy,2020-02-08,3,0,0
Italy,2020-02-09,3,0,0
Italy,2020-02-10,3,0,0
Italy,2020-02-11,3,0,0
Italy,2020-02-12,3,0,0
Italy,2020-02-13,3,0,0
Italy,2020-02-14,3,0,0
Italy,2020-02-15,3,0,0
Italy,2020-02-16,3,0,0
Italy,2020-02-17,3,0,0
Italy,2020-02-18,3,0,0
Italy,2020-02-19,3,0,0
Italy,2020-02-20,3,0,0
Italy,2020-02-21,20,1,0
Italy,2020-02-22,62,2,1
Italy,2020-02-23,155,3,2
Italy,2020-02-24,229,7,1
Italy,2020-02-25,322,10,1
Italy,2020-02-26,453,12,3
Italy,2020-02-27,655,17,45
Italy,2020-02-28,888,21,46
Italy,2020-02-29,1128,29,46
Italy,2020-03-01,1694,34,83
Italy,2020-03-02,2036,52,149
Italy,2020-03-03,2502,79,160
Italy,2020-03-04,3089,107,276
Italy,2020-03-05,3858,148,414
Italy,2020-03-06,4636,197,523
Italy,2020-03-07,5883,233,589
Italy,2020-03-08,7375,366,622
Italy,2020-03-09,9172,463,724
Italy,2020-03-10,10149,631,724
Italy,2020-03-11,12462,827,1045
Italy,2020-03-12,12462,827,1045
Italy,2020-03-13,17660,1266,1439
Italy,2020-03-14,21157,1441,1966
Italy,2020-03-15,24747,1809,2335
Italy,2020-03-16,27980,2158,2749
Italy,2020-03-17,31506,2503,2941
Italy,2020-03-18,35713,2978,4025
Italy,2020-03-19,41035,3405,4440
Italy,2020-03-20,47021,4032,4440
Italy,2020-03-21,53578,4825,6072
Italy,2020-03-22,59138,5476,7024
Italy,2020-03-23,63927,6077,7024
Italy,2020-03-24,69176,6820,8326
Italy,2020-03-25,74386,7503,9362
Italy,2020-03-26,80589,8215,10361
Italy,2020-03-27,86498,9134,10950
Italy,2020-03-28,92472,10023,12384
Italy,2020-03-29,97689,10779,13030
Italy,2020-03-30,101739,11591,14620
Italy,2020-03-31,105792,12428,15729
Italy,2020-04-01,110574,13155,16847
Italy,2020-04-02,115242,13915,18278
Italy,2020-04-03,119827,14681,19758
Italy,2020-04-04,124632,15362,20996
Italy,2020-04-05,128948,15887,21815
Italy,2020-04-06,132547,16523,22837
Italy,2020-04-07,135586,17127,24392
Italy,2020-04-08,139422,17669,26491
Italy,2020-04-09,143626,18279,28470
Italy,2020-04-10,147577,18849,30455
Italy,2020-04-11,152271,19468,32534
Italy,2020-04-12,156363,19899,34211
Italy,2020-04-13,159516,20465,35435
Italy,2020-04-14,162488,21067,37130
Italy,2020-04-15,165155,21645,38092
Italy,2020-04-16,168941,22170,40164
Italy,2020-04-17,172434,22745,42727
Italy,2020-04-18,175925,23227,44927
Italy,2020-04-19,178972,23660,47055
Italy,2020-04-20,181228,24114,48877
